Date,N1,N2,N3,N4,N5,N6,BN
2025-09-10,18,42,38,27,1,9,13
2025-09-06,10,45,57,37,22,40,24
2025-09-03,7,22,54,31,15,18,28
2025-08-30,6,10,19,20,43,59,16
2025-08-27,5,25,43,45,47,55,58
2025-08-23,30,54,59,7,38,42,5
2025-08-20,1,9,10,32,44,55,49
2025-08-16,1,11,15,19,45,48,37
2025-08-13,1,16,27,41,50,55,54
2025-08-09,2,27,29,38,44,51,23
2025-08-06,5,9,17,31,47,58,35
2025-08-02,33,1,5,10,30,50,56
2025-07-30,37,3,21,5,18,7,38
2025-07-26,28,42,24,57,23,9,18
2025-07-23,48,3,11,21,16,9,22
2025-07-19,25,46,5,7,29,40,15
2025-07-16,6,47,55,12,9,15,56
2025-07-12,41,11,25,4,51,17,14
2025-07-09,51,12,15,25,58,6,57
2025-07-05,45,37,43,9,18,12,15
2025-07-02,34,51,54,55,11,4,57
2025-06-28,17,40,22,47,38,16,4
2025-06-25,21,54,14,49,16,42,41
2025-06-21,58,31,13,12,10,6,15
2025-06-18,44,8,15,49,31,38,59
2025-06-14,42,36,48,59,8,20,46
2025-06-11,47,53,35,13,42,8,39
2025-06-07,27,11,30,46,39,17,56
2025-06-04,9,45,32,2,19,57,31
2025-05-31,20,33,12,11,16,8,52
2025-05-28,8,31,28,49,55,33,13
2025-05-24,9,13,12,26,38,40,4
2025-05-21,16,36,20,30,5,6,2
2025-05-17,34,24,18,51,47,35,26
2025-05-14,14,34,2,52,48,37,29
2025-05-10,27,13,36,14,33,15,18
2025-05-07,12,24,21,3,45,41,20
2025-05-03,18,23,41,17,38,47,9
2025-04-30,16,40,42,28,23,55,44
2025-04-26,32,36,59,7,8,11,21
2025-04-23,42,1,37,24,28,26,44
2025-04-19,13,11,1,37,2,30,33
2025-04-16,48,57,39,27,36,59,45
2025-04-12,4,55,12,10,22,53,31
2025-04-09,12,46,14,28,31,33,43
2025-04-05,33,59,57,53,10,26,18
2025-04-02,40,43,36,30,5,41,53
2025-03-29,1,7,35,57,17,43,19
2025-03-26,18,22,17,34,53,58,14
